"","x","cluster_hits","aggInv_cover","aggInv_pval","aggInv_pval_jk","aggInv_fdr","sumz_n","sumz_pval","sumz_fdr","sumlog_n","sumlog_pval","sumlog_fdr"
"1","hsa-miR-205-5p",50,1.62842149179724,1.65944438903556e-17,3.14620159760249e-17,4.71904498131988e-16,"108",7.433e-199,6.76403e-196,"108",1.3569999999999e-311,1.23486999999991e-308
"2","hsa-miR-214-3p",35,1.23460061744293,2.24579880670495e-13,3.65700557827637e-13,2.70277011736527e-12,"108",2.188e-95,6.63693333333333e-93,"108",1.48e-224,6.734e-222
"3","hsa-miR-23b-3p",59,2.55248440001087,2.38818655799304e-27,6.44281585388145e-27,2.17324976777366e-25,"108",8.059e-156,3.666845e-153,"108",3.579e-209,1.08563e-206
"4","hsa-miR-107",42,1.50320852349,8.88327562869661e-16,2.06225613419223e-15,1.79639573824754e-14,"108",5.964e-91,1.35681e-88,"108",1.907e-192,4.338425e-190
"5","hsa-miR-103a-3p",42,1.4860846887246,4.37366290302195e-15,9.09176517737979e-15,7.50949668254713e-14,"108",1.467e-89,2.66994e-87,"108",2.717e-188,4.94494e-186
"6","hsa-miR-147a",38,0.609321141464298,1.85768095238968e-05,2.34136182885865e-05,4.986695181931e-05,"108",8.036e-45,8.12528888888889e-43,"108",5.776e-177,8.76026666666666e-175
"7","hsa-miR-195-5p",38,0.93266113898773,5.64638242900593e-05,6.84559056007274e-05,0.000140772822202614,"108",3.225e-66,4.1925e-64,"108",2.027e-175,2.6351e-173
"8","hsa-miR-124-3p",45,1.43917007388179,2.03964296010289e-17,5.19586131534543e-17,5.62446998088979e-16,"108",1.28e-73,1.94133333333333e-71,"108",1.075e-145,1.2228125e-143
"9","hsa-miR-129-2-3p",38,1.10771154715264,7.07348966765386e-13,1.17433870841698e-12,7.48473906693606e-12,"108",4.739e-48,5.3906125e-46,"108",1.314e-121,1.3286e-119
"10","hsa-miR-193b-3p",37,0.993621613209726,3.57621788911485e-09,4.74583620978554e-09,1.96045679463525e-08,"108",2.486e-31,1.50817333333333e-29,"108",3.256e-93,2.96296e-91
"11","hsa-miR-1-3p",37,1.17852385606604,8.32485324084133e-08,1.16075249576966e-07,3.52354253449563e-07,"108",2.638e-36,2.18234545454545e-34,"108",5.518e-89,4.56489090909091e-87
"12","hsa-miR-449b-5p",30,-0.00325860795826673,8.69054061866135e-15,1.46209816769721e-14,1.41221285053247e-13,"108",1.413e-15,4.76233333333333e-14,"108",4.816e-86,3.65213333333333e-84
"13","hsa-miR-16-5p",25,1.17849389692091,7.47605988380606e-06,9.00508674644865e-06,2.15291597919731e-05,"108",2.6e-35,1.97166666666667e-33,"108",1.051e-56,7.357e-55
"14","hsa-miR-494-3p",24,1.24891267790953,1.35113215321532e-18,2.17045293815622e-18,4.55381577565164e-17,"108",7.775e-44,7.07525e-42,"108",5.38e-53,3.497e-51
"15","hsa-miR-503-5p",24,0.891607934791053,4.10309785254397e-13,5.81043938027348e-13,4.55343786075001e-12,"108",5.483e-32,3.56395e-30,"108",1.27e-44,7.70466666666667e-43
"16","hsa-miR-449a",18,0.545357927558778,3.77004539928548e-11,5.07340514245442e-11,2.95753561495671e-10,"108",7.923e-15,2.32578387096774e-13,"108",1.807e-41,1.02773125e-39
"17","hsa-miR-138-5p",31,-0.144059419941542,0.00100699332046021,0.00111352868303541,0.00204545518218481,"108",1.742e-05,0.00022646,"108",2.828e-41,1.51381176470588e-39
"18","hsa-miR-34c-5p",19,0.188658987757603,1.99140804612987e-15,3.11626667246916e-15,3.77537775412121e-14,"108",8.339e-11,1.76476511627907e-09,"108",3.249e-40,1.64255e-38
"19","hsa-miR-766-3p",16,1.0043668983406,3.07995719095912e-13,4.22758767441197e-13,3.54779878958583e-12,"108",9.926e-34,6.9482e-32,"108",2.013e-37,9.64121052631579e-36
"20","hsa-miR-522-5p",24,1.03163733015713,2.12760129572393e-07,2.53105116302002e-07,8.34533266857232e-07,"108",5.897e-28,3.15662941176471e-26,"108",2.726e-36,1.24033e-34
"21","hsa-let-7a-5p",19,1.10689136716615,5.67414853912875e-08,6.82141505800545e-08,2.44714463061951e-07,"108",6.359e-31,3.61668125e-29,"108",4.964e-34,2.15106666666667e-32
"22","hsa-miR-590-3p",20,0.993716415636322,1.56053541126802e-12,2.07232750134363e-12,1.56366053051228e-11,"108",2.302e-27,1.16378888888889e-25,"108",5.72e-33,2.366e-31
"23","hsa-miR-548b-3p",22,0.24318352287946,2.12247669451423e-13,3.07975776315036e-13,2.61007269190264e-12,"108",4.213e-15,1.27794333333333e-13,"108",9.908e-33,3.92012173913044e-31
"24","hsa-miR-3615",15,0.484586557561137,2.99451604268749e-28,6.3340892127304e-28,3.40626199855701e-26,"108",1.474e-21,6.7067e-20,"108",1.262e-32,4.78508333333333e-31
"25","hsa-miR-26a-5p",20,0.601580061576455,4.34943161950024e-06,5.2153098179788e-06,1.32374005810877e-05,"108",2.444e-14,6.950125e-13,"108",4.826e-32,1.756664e-30
"26","hsa-miR-196b-5p",21,0.785765813089042,5.40017628369946e-09,6.60897268885772e-09,2.89068259892147e-08,"108",7.115e-23,3.40771052631579e-21,"108",2.656e-29,9.296e-28
"27","hsa-miR-106b-5p",20,0.851454912445842,2.26894294825295e-07,2.67014740869033e-07,8.78611950174545e-07,"108",4.432e-19,1.83323636363636e-17,"108",1.646e-27,5.54762962962963e-26
"28","hsa-miR-141-5p",20,0.524894588927005,2.676406759129e-09,3.37195221323034e-09,1.51275164646422e-08,"108",2.056e-18,8.13460869565217e-17,"108",1.355e-25,4.40375e-24
"29","hsa-miR-30e-5p",13,0.730526533849197,1.64136334705193e-06,1.89585255235976e-06,5.37280807847933e-06,"108",2.289e-17,8.33196e-16,"108",9.61e-25,3.01555172413793e-23
"30","hsa-miR-192-5p",20,0.548097224808898,8.47141658629218e-12,1.12959247856471e-11,7.34189437478656e-11,"108",6.133e-09,1.116206e-07,"108",1.831e-23,5.55403333333333e-22
"31","hsa-let-7c-5p",16,0.770945950053309,8.44863619262252e-07,9.85029016627187e-07,2.94569307865383e-06,"108",1.973e-17,7.48095833333333e-16,"108",3.334e-23,9.78690322580645e-22
"32","hsa-miR-196a-5p",20,0.777370411155529,2.89543148168358e-07,3.36363082553693e-07,1.10244462273308e-06,"108",3.229e-19,1.39923333333333e-17,"108",1.955e-21,5.55953125e-20
"33","hsa-miR-181a-2-3p",13,0.305705634333872,6.30897941970649e-12,8.57101816766428e-12,5.63402313453102e-11,"108",1.016e-09,1.92616666666667e-08,"108",4.406e-21,1.21498787878788e-19
"34","hsa-let-7d-5p",18,0.629046084150929,7.87842687004419e-06,8.9638900589658e-06,2.24042764116882e-05,"108",1.963e-12,4.82791891891892e-11,"108",2.169e-20,5.80526470588235e-19
"35","hsa-miR-320a",16,0.552048791698205,6.29989655216772e-06,7.1150886194801e-06,1.84932447176536e-05,"108",4.135e-10,8.36188888888889e-09,"108",3.787e-20,9.8462e-19
"36","hsa-miR-22-5p",14,0.59342668992789,0.00234508135030631,0.00248095778890364,0.00451167870777748,"108",3.7e-15,1.16103448275862e-13,"108",4.29e-20,1.08441666666667e-18
"37","hsa-let-7f-5p",15,0.741324860119536,9.7402866323559e-06,1.09865579981437e-05,2.71093955557886e-05,"108",2.601e-16,9.1035e-15,"108",4.869e-20,1.19751081081081e-18
"38","hsa-miR-197-3p",15,0.151698621794198,2.09530356026943e-07,2.54138376367172e-07,8.25422614651592e-07,"108",1.057e-08,1.88601960784314e-07,"108",1.326e-19,3.17542105263158e-18
"39","hsa-miR-93-3p",16,-0.245826359792114,1.32830146734892e-06,1.59781106792671e-06,4.47478442788841e-06,"108",8.956e-06,0.000118115362318841,"108",5.995e-18,1.39883333333333e-16
"40","hsa-miR-20a-5p",21,0.625487958709968,0.0001944925134329,0.000211891543668928,0.000446939866727118,"108",4.009e-11,9.120475e-10,"108",6.207e-18,1.4120925e-16
"41","hsa-miR-942-5p",15,0.394191098452572,3.19843062214492e-09,3.98950506770122e-09,1.77473894277553e-08,"108",1.265e-13,3.48833333333333e-12,"108",8.021e-18,1.78027073170732e-16
"42","hsa-miR-532-5p",17,-0.172262117876496,1.24662352061188e-13,1.8118163701972e-13,1.64409768660407e-12,"108",5.999e-05,0.000708972727272727,"108",4.528e-17,9.81066666666667e-16
"43","hsa-miR-618",17,-0.627831833852523,3.60467212115512e-18,6.36284536035075e-18,1.17151843937541e-16,"108",0.003118,0.0305094623655914,"108",1.557e-16,3.29504651162791e-15
"44","hsa-miR-744-3p",15,-0.116714117912279,3.96455308563997e-18,6.59990892108793e-18,1.2440494165284e-16,"108",6.964e-07,9.9019375e-06,"108",2.838e-16,5.8695e-15
"45","hsa-miR-182-5p",15,0.715033394044827,0.0017563680819516,0.00186326801349666,0.00345204093860898,"108",2.373e-15,7.71225e-14,"108",5.69e-16,1.15064444444444e-14
"46","hsa-miR-340-3p",12,-0.0220355580853117,4.97386958633e-19,8.37981815001489e-19,1.81048852942412e-17,"108",3.198e-08,5.38922222222222e-07,"108",6.341e-16,1.2544152173913e-14
"47","hsa-miR-26b-5p",12,0.688421192583565,2.46182918117694e-07,2.91657294255711e-07,9.45259305852748e-07,"108",4.206e-13,1.12572352941176e-11,"108",9.784e-16,1.89434893617021e-14
"48","hsa-let-7i-5p",16,0.674287609041013,2.18793097310252e-05,2.43131388876825e-05,5.80471482659853e-05,"108",1.214e-12,3.06872222222222e-11,"108",1.415e-15,2.68260416666667e-14
"49","hsa-miR-17-3p",15,0.422557212167759,9.74096990505105e-05,0.000107367142983283,0.000233270595094644,"108",7.335e-11,1.58925e-09,"108",4.043e-15,7.50842857142857e-14
"50","hsa-miR-378a-3p",20,0.480287085760609,1.35203774285269e-06,1.55532628475441e-06,4.50679247617565e-06,"108",1.953e-11,4.557e-10,"108",5.046e-15,9.18372e-14
"51","hsa-miR-212-3p",15,0.117766947282139,2.27177204818479e-08,2.76659939531127e-08,1.07114640613894e-07,"108",0.0006043,0.00646956470588235,"108",1.291e-14,2.30354901960784e-13
"52","hsa-miR-22-3p",17,0.602933116059441,0.000394586307390468,0.000424764511835822,0.000861087625240591,"108",1.292e-11,3.094e-10,"108",1.757e-14,3.07475e-13
"53","hsa-miR-20a-3p",10,0.525151392055828,3.40467215738193e-10,4.24584232248513e-10,2.27812622295409e-09,"108",7.863e-13,2.04438e-11,"108",4.025e-14,6.91084905660377e-13
"54","hsa-miR-455-3p",19,0.251565949931248,3.01127959250221e-21,5.0985363684884e-21,1.52236912732056e-19,"108",2.22e-10,4.59136363636364e-09,"108",7.306e-14,1.2311962962963e-12
"55","hsa-let-7g-5p",14,0.548579139240593,8.34633530035708e-05,9.17422498381962e-05,0.000202537736621999,"108",5.185e-10,1.02572826086957e-08,"108",1.135e-13,1.87790909090909e-12
