"","x","cluster_hits","aggInv_cover","aggInv_pval","aggInv_pval_jk","aggInv_fdr","sumz_n","sumz_pval","sumz_fdr","sumlog_n","sumlog_pval","sumlog_fdr"
"1","hsa-miR-325-3p",1,0.486851863478148,5.15052138513638e-34,1.38281166801661e-33,1.13053944403744e-31,"108",5.125e-13,2.249875e-10,"108",5.661e-23,2.485179e-20
"2","hsa-miR-371a-5p",4,-0.956951452284218,4.12612384808352e-40,2.96741984224258e-39,1.81136836930866e-37,"108",0.9973,1,"108",2.609e-17,5.726755e-15
"3","hsa-miR-132-3p/hsa-miR-212-3p",2,0.0887057087666005,1.62543624865769e-06,1.9501552133665e-06,1.29739366029223e-05,"108",0.0001441,0.0210866333333333,"108",5.671e-15,8.29856333333333e-13
"4","hsa-miR-452-5p/hsa-miR-892c-3p",2,0.156030143342678,4.97664496733286e-18,7.99772072512276e-18,4.36949428131825e-16,"108",0.001133,0.12434675,"108",1.412e-06,0.000154967
"5","hsa-miR-374c-3p",0,0.198918391830373,6.62851039738316e-23,1.19281987246821e-22,9.69972021483736e-21,"108",0.0001273,0.0210866333333333,"108",6.907e-06,0.0006064346
"6","hsa-miR-383-5p.2",0,-0.708690811434239,1.64216967925635e-11,2.40928614956491e-11,4.00506938440855e-10,"108",0.9982,1,"108",0.001837,0.134407166666667
"7","hsa-miR-1278",1,-0.525530144067527,1.24567208284736e-12,1.82509937123089e-12,4.2065388028461e-11,"108",0.9887,1,"108",0.05341,1
"8","hsa-miR-556-3p",1,-1.27127515089277,8.61359868220757e-13,1.38568003833877e-12,3.1511415179076e-11,"108",1,1,"108",0.1752,1
"9","hsa-miR-381-3p",0,-1.06722203666058,1.05776159571009e-11,1.5994476139074e-11,2.73151376774546e-10,"108",1,1,"108",0.2068,1
"10","hsa-miR-552-3p",2,-0.41888429289906,3.18105410188875e-07,3.81864734140191e-07,3.10329500162036e-06,"108",0.9833,1,"108",0.2635,1
"11","hsa-miR-335-5p",2,-0.986900805978752,1.07273941420806e-08,1.40877254836488e-08,1.38509589069806e-07,"108",1,1,"108",0.4173,1
"12","hsa-miR-6835-3p",0,-0.670554393762127,5.02572326874265e-10,6.73512687299274e-10,8.17145375917787e-09,"108",0.9999,1,"108",0.4501,1
"13","hsa-miR-599",0,-0.700578374303881,1.20065492975329e-10,1.64258933642556e-10,2.29168484418128e-09,"108",0.9999,1,"108",0.4626,1
"14","hsa-miR-3121-3p",1,-1.53975452186385,3.61362998293608e-05,4.23428278652292e-05,0.000229910661233179,"108",1,1,"108",0.4665,1
"15","hsa-miR-150-5p",1,-0.552560481736401,9.67207309918224e-15,1.47237316587239e-14,5.30755011317625e-13,"108",0.998,1,"108",0.5024,1
"16","hsa-miR-4661-5p",0,-0.407550761875764,1.01890977175486e-09,1.30301321732404e-09,1.54241858551857e-08,"108",0.9777,1,"108",0.5255,1
"17","hsa-miR-191-5p",0,-1.05389382720151,1.80821657839368e-11,2.63520365379848e-11,4.1779319890254e-10,"108",1,1,"108",0.6263,1
"18","hsa-miR-216a-5p",0,-0.760100683751483,5.11694990673586e-19,9.35756791367802e-19,5.61585252264261e-17,"108",1,1,"108",0.6766,1
"19","hsa-miR-532-5p",0,-0.548775713378104,2.72825211380949e-07,3.28906976070492e-07,2.78535506502876e-06,"108",0.9986,1,"108",0.7441,1
"20","hsa-miR-429/hsa-miR-200b-3p/hsa-miR-200c-3p",0,-0.795400022621003,0.0774251785487472,0.0791028529079411,0.208525480876687,"108",1,1,"108",0.7645,1
"21","hsa-miR-641/hsa-miR-3617-5p",0,-1.0982687582612,3.65891733601182e-07,4.52618767144907e-07,3.49187980545476e-06,"108",1,1,"108",0.7919,1
"22","hsa-miR-330-3p",1,-1.22336526884136,7.59981293061048e-14,1.25792249381723e-13,3.70701986282e-12,"108",1,1,"108",0.8252,1
"23","hsa-miR-4766-3p",1,-1.04348769678397,1.48968565362645e-08,1.93557165511867e-08,1.86849143412003e-07,"108",1,1,"108",0.8377,1
"24","hsa-miR-499b-5p",0,-0.999859181442537,1.15628371686728e-06,1.39149866699845e-06,9.49345510705062e-06,"108",1,1,"108",0.8885,1
"25","hsa-miR-524-5p",1,-1.97914825415592,0.00369728409431501,0.0040227703081008,0.0153123369566442,"108",1,1,"108",0.9071,1
"26","hsa-miR-495-3p",0,-1.47756178538914,5.2247867483016e-09,7.16305909146553e-09,6.95054964395273e-08,"108",1,1,"108",0.9074,1
"27","hsa-miR-339-5p",3,-1.33855348016192,0.0134582871627795,0.0141813988811661,0.0468903814639698,"108",1,1,"108",0.9134,1
"28","hsa-miR-4766-5p",2,-1.63710790877639,6.80538163741586e-05,7.83440214371604e-05,0.000409255142304871,"108",1,1,"108",0.9179,1
"29","hsa-miR-410-3p",0,-1.99793671517313,7.84228222310099e-12,1.32711469708853e-11,2.15172618496333e-10,"108",1,1,"108",0.9195,1
"30","hsa-miR-146a-5p/hsa-miR-146b-5p",0,-1.50478544685554,0.00399048753104251,0.00431270471940478,0.0162205928345154,"108",1,1,"108",0.9219,1
"31","hsa-miR-370-3p",0,-0.682884831074267,1.80342451777663e-09,2.32295051782038e-09,2.55388181710948e-08,"108",1,1,"108",0.9487,1
"32","hsa-miR-942-5p",0,-0.729663252012593,1.97357896330995e-06,2.33075653258265e-06,1.54714493730905e-05,"108",1,1,"108",0.9565,1
"33","hsa-miR-629-5p",0,-0.684149389627263,2.98681377277886e-05,3.40873367951375e-05,0.000195703171082077,"108",1,1,"108",0.9588,1
"34","hsa-miR-1251-5p",0,-1.13600752125605,3.05978455372797e-12,4.54181977590448e-12,8.95496946057718e-11,"108",1,1,"108",0.9615,1
"35","hsa-miR-377-3p",0,-0.600509524392518,0.00218214370221664,0.00232655984993001,0.00957961085273104,"108",1,1,"108",0.9758,1
"36","hsa-miR-525-5p",1,-0.665154896188928,0.051812126449767,0.0531532844597141,0.146745312977082,"108",1,1,"108",0.981,1
"37","hsa-miR-154-5p",0,-1.63907639912427,9.74494255267695e-07,1.2158328248988e-06,8.38829368750035e-06,"108",1,1,"108",0.9829,1
