"","x","cluster_hits","aggInv_cover","aggInv_pval","aggInv_pval_jk","aggInv_fdr","sumz_n","sumz_pval","sumz_fdr","sumlog_n","sumlog_pval","sumlog_fdr"
"1","hsa-miR-379-5p",5,0.127923303406521,1.79202750320336e-05,2.42038279302413e-05,0.000524466715937515,"55",0.0007756,0.0309534909090909,"55",9.181e-10,4.030459e-07
"2","hsa-miR-1298-5p",2,0.386594708429489,9.72373253105304e-06,1.25712455887553e-05,0.000451753527772519,"55",4.292e-06,0.000942094,"55",5.259e-09,8.70976e-07
"3","hsa-miR-22-3p",7,0.333504847878989,0.0141599230850262,0.0154452671860599,0.0336011147801433,"55",0.0003095,0.0184325125,"55",5.952e-09,8.70976e-07
"4","hsa-miR-185-5p",5,0.709202023786438,0.00125703816030886,0.00142931471357603,0.00755944866267931,"55",7.219e-08,3.169141e-05,"55",4.99e-08,5.476525e-06
"5","hsa-miR-545-3p",5,0.261857832253234,0.0374864539452774,0.0399854784233699,0.0642781595627409,"55",0.0006674,0.02929886,"55",1.503e-07,1.319634e-05
"6","hsa-miR-1287-5p",6,0.451565842556017,1.56128853498154e-05,2.03573724753851e-05,0.000489575476326354,"55",3.415e-05,0.0037479625,"55",2.245e-07,1.64259166666667e-05
"7","hsa-miR-134-5p",5,0.119194556776242,0.0190873838051417,0.0207700018677008,0.0409992506814927,"55",0.006813,0.142424142857143,"55",1.782e-06,0.000111756857142857
"8","hsa-miR-296-5p",6,0.303770574348835,0.00209145156988554,0.00238825185533576,0.00988993779893809,"55",0.00444,0.114656470588235,"55",2.974e-06,0.00016319825
"9","hsa-miR-3150a-3p",5,0.464389694505771,0.0140364344248747,0.0151545857350136,0.0335708117818178,"55",0.0002866,0.0184325125,"55",3.979e-06,0.000194086777777778
"10","hsa-miR-221-3p/hsa-miR-222-3p",4,0.028256285845979,0.00375498786091253,0.00427643476294026,0.0142106868184535,"55",0.06998,0.682693777777778,"55",7.684e-06,0.000317317181818182
"11","hsa-miR-203a-3p.1",6,0.176112475676033,7.95136035726331e-05,9.88090169828777e-05,0.00120367144718572,"55",0.005048,0.123115111111111,"55",7.951e-06,0.000317317181818182
"12","hsa-miR-3126-5p",4,0.547890870916627,0.000103553951399373,0.000124234414405235,0.00146645756981693,"55",2.42e-05,0.00354126666666667,"55",9.423e-06,0.00034472475
"13","hsa-miR-135a-5p/hsa-miR-135b-5p",6,0.207644756635723,0.000451687878081718,0.000538580585342142,0.00388805840152694,"55",0.006392,0.142424142857143,"55",1.515e-05,0.000483840714285714
