"","x","cluster_hits","aggInv_cover","aggInv_pval","aggInv_pval_jk","aggInv_fdr","sumz_n","sumz_pval","sumz_fdr","sumlog_n","sumlog_pval","sumlog_fdr"
"1","hsa-miR-22-3p",5,0.866575140562956,1.39514571574116e-05,2.29653158524989e-05,0.000191396552878241,"28",9.432e-08,1.380216e-05,"28",4.995e-10,1.0968415e-07
"2","hsa-miR-449b-5p/hsa-miR-34c-5p/hsa-miR-34a-5p/hsa-miR-449a",3,1.12581795014082,3.11408557245306e-07,5.87611936676573e-07,1.95297652329556e-05,"28",1.282e-09,2.81399e-07,"28",4.997e-10,1.0968415e-07
"3","hsa-miR-1269a/hsa-miR-1269b",4,0.379173974967837,0.000116365946819303,0.000184454242496538,0.000810867470693237,"28",0.0005653,0.0165444466666667,"28",5.348e-09,7.413832e-07
"4","hsa-miR-185-5p",2,1.18434559599795,1.17246933123059e-05,1.75479946900503e-05,0.000171571345470076,"28",1.841e-10,8.08199e-08,"28",8.091e-09,7.413832e-07
"5","hsa-miR-33a-5p/hsa-miR-33b-5p",2,0.555538385943824,8.99988711621092e-12,3.01810404225808e-11,3.95095044401659e-09,"28",1.4e-05,0.00115018,"28",8.444e-09,7.413832e-07
"6","hsa-miR-31-5p",3,0.705891123576873,9.64113933474831e-05,0.000146358328368156,0.000717366130161781,"28",6.505e-06,0.00071392375,"28",3.551e-08,2.59814833333333e-06
"7","hsa-miR-450b-5p",3,0.394094879318146,2.29849605292914e-05,3.77978546625762e-05,0.000246107260301437,"28",0.0004268,0.0144127076923077,"28",1.033e-07,6.47838571428571e-06
"8","hsa-miR-3179",5,0.691955392141354,0.000183705386606076,0.000268995677826313,0.00122191916242526,"28",3.536e-05,0.00172478222222222,"28",2.348e-07,1.288465e-05
"9","hsa-miR-874-3p",2,0.668618009929087,1.15480150963775e-06,2.04965024945618e-06,3.89967586716131e-05,"28",1.572e-05,0.00115018,"28",1.474e-06,6.585e-05
"10","hsa-miR-155-5p",3,0.719298603810859,4.10676366039927e-06,6.62362712043501e-06,9.48878551008043e-05,"28",1.906e-05,0.00119533428571429,"28",1.5e-06,6.585e-05
"11","hsa-miR-4677-3p",2,0.114294100024363,0.000105120818376855,0.000166847010621533,0.000769133987790656,"28",0.01513,0.195355,"28",1.828e-06,7.29538181818182e-05
"12","hsa-miR-517c-3p/hsa-miR-517a-3p",2,0.275115621607787,3.44464499971395e-11,1.09612608928481e-10,7.56099577437211e-09,"28",0.003413,0.0713479523809524,"28",8.276e-06,0.000302763666666667
"13","hsa-miR-361-3p",4,0.285924599342335,0.000518937443898116,0.000768985578473463,0.00239856694765382,"28",0.007142,0.12541352,"28",1.179e-05,0.000398139230769231
"14","hsa-miR-625-5p",2,0.685666110510481,0.00175164868991153,0.00224572190958311,0.00582555890053912,"28",0.0001427,0.00626453,"28",2.005e-05,0.000628710714285714
"15","hsa-miR-503-5p",1,0.38072627840897,0.015646395071138,0.0181100316032592,0.0289821410811374,"28",0.004153,0.0792681304347826,"28",2.606e-05,0.00074575125
"16","hsa-miR-4731-5p",1,0.699668423049706,0.00458682708909745,0.00562486691072727,0.0114410062051919,"28",2.977e-05,0.00163362875,"28",2.718e-05,0.00074575125
"17","hsa-miR-1266-3p",2,-0.0633539158971293,2.87085229645122e-06,5.56209575159092e-06,7.41355387142404e-05,"28",0.11,0.911132075471698,"28",5.357e-05,0.00138336647058824
"18","hsa-miR-197-3p",2,-0.253891268985873,0.00276605413759065,0.00371565940726091,0.00814964943894158,"28",0.1996,1,"28",7.99e-05,0.00194867222222222
