"","x","cluster_hits","aggInv_cover","aggInv_pval","aggInv_pval_jk","aggInv_fdr","sumz_n","sumz_pval","sumz_fdr","sumlog_n","sumlog_pval","sumlog_fdr"
"1","hsa-miR-205-5p",43,1.97678139557386,7.67734531996137e-13,1.93291323200189e-12,3.03755836572385e-11,"60",4.696e-223,4.27336e-220,"60",8.70899999999999e-294,7.92519e-291
"2","hsa-miR-214-3p",35,2.2494986134684,4.9300695029671e-15,1.40460839983266e-14,2.99090883180004e-13,"60",6.443e-166,1.95437666666667e-163,"60",1.087e-247,4.94585e-245
"3","hsa-miR-147a",41,2.21853828093628,2.23396504432283e-16,8.44947738021759e-16,2.25878687814864e-14,"60",7.168e-165,1.63072e-162,"60",7.13e-223,2.16276666666667e-220
"4","hsa-miR-195-5p",42,2.28093527006079,1.35142582632734e-13,4.05796181633928e-13,6.14898750978941e-12,"60",7.733e-169,3.518515e-166,"60",2.679e-218,6.094725e-216
"5","hsa-miR-107",40,2.71853244072488,2.1102405351991e-25,1.92323255422861e-24,1.92031888703118e-22,"60",4.644e-163,8.45208e-161,"60",9.18699999999999e-217,1.672034e-214
"6","hsa-miR-103a-3p",40,2.71089175040869,1.06653842264912e-23,7.19939940346725e-23,3.23516654870232e-21,"60",1.158e-162,1.7563e-160,"60",7.596e-216,1.15206e-213
"7","hsa-miR-124-3p",38,2.399839117653,4.47557006285175e-25,4.0356122427725e-24,2.03638437859755e-22,"60",1.357e-115,1.7641e-113,"60",3.717e-150,4.8321e-148
"8","hsa-miR-129-2-3p",37,2.27563808996339,1.01590068470039e-19,3.90926263353514e-19,2.3111740576934e-17,"60",3.477e-109,3.9550875e-107,"60",2.244e-148,2.55255e-146
"9","hsa-miR-193b-3p",35,2.48219173630661,3.57927181477027e-16,8.32799302926364e-16,3.25713735144094e-14,"60",3.005e-83,2.73455e-81,"60",3.842e-117,3.88468888888889e-115
"10","hsa-miR-449b-5p",33,1.16145297341165,2.06765971409453e-16,5.85148054294744e-16,2.25878687814864e-14,"60",6.211e-57,5.13819090909091e-55,"60",3.152e-114,2.86832e-112
"11","hsa-miR-1-3p",36,2.44357184086023,1.33614715456442e-19,5.40218179060757e-19,2.43178782130724e-17,"60",2.511e-83,2.5389e-81,"60",6.173e-106,5.10675454545454e-104
