"","x","cluster_hits","aggInv_cover","aggInv_pval","aggInv_pval_jk","aggInv_fdr","sumz_n","sumz_pval","sumz_fdr","sumlog_n","sumlog_pval","sumlog_fdr"
"1","hsa-miR-452-5p/hsa-miR-892c-3p",1,0.216593736677038,2.37595203907974e-11,4.04862433141717e-11,3.05206892029595e-09,"60",0.0007585,0.16649075,"60",1.514e-06,0.000370955
"2","hsa-miR-132-3p/hsa-miR-212-3p",2,-0.530629313309391,0.0626085048897611,0.0660388605538087,0.239001162144393,"60",0.8185,1,"60",1.69e-06,0.000370955
"3","hsa-miR-325-3p",1,-0.32751392765421,2.78092840118082e-11,5.23624520307398e-11,3.05206892029595e-09,"60",0.3262,1,"60",8.384e-06,0.00122685866666667
"4","hsa-miR-374c-3p",0,0.307436340122858,1.25721277975672e-14,2.36573109506631e-14,2.759582051566e-12,"60",0.0002821,0.1238419,"60",8.826e-05,0.009686535
"5","hsa-miR-3121-3p",1,-1.1014909229352,9.58969487553956e-06,1.35054850117021e-05,0.000183038089146168,"60",0.9999,1,"60",0.0004462,0.03917636
"6","hsa-miR-335-5p",2,-0.572834693011859,2.38323881699519e-08,3.78608811840939e-08,8.0480141589299e-07,"60",0.8918,1,"60",0.002588,0.189355333333333
"7","hsa-miR-339-5p",3,-0.706531516198717,0.000111542279224227,0.000141873848968642,0.00132343406971448,"60",0.9885,1,"60",0.003652,0.229032571428571
"8","hsa-miR-599",0,-0.41057661697945,9.26155173641245e-09,1.4635361604134e-08,5.08227651535633e-07,"60",0.6578,1,"60",0.00549,0.30126375
"9","hsa-miR-1278",1,-0.810163330292006,8.05260691115246e-06,1.10424504403944e-05,0.000160686110636179,"60",0.9979,1,"60",0.02161,1
"10","hsa-miR-524-5p",1,-1.7229984220751,0.00243820705932058,0.00292972047933861,0.0191138017686024,"60",1,1,"60",0.02303,1
"11","hsa-miR-410-3p",0,-1.19999374827302,4.0561520982373e-15,1.22619860642656e-14,1.78065077112617e-12,"60",1,1,"60",0.0266,1
"12","hsa-miR-1251-5p",0,-0.997081860055794,1.28953309011423e-08,2.17180809708264e-08,5.66105026560148e-07,"60",0.9999,1,"60",0.07482,1
"13","hsa-miR-191-5p",0,-0.807555377836116,5.95346109445057e-09,9.86460327674209e-09,3.73367060066257e-07,"60",0.9957,1,"60",0.08545,1
"14","hsa-miR-429/hsa-miR-200b-3p/hsa-miR-200c-3p",0,-0.162672351161329,0.00122867811254142,0.00138846022485537,0.0109044253664611,"60",0.4076,1,"60",0.08813,1
"15","hsa-miR-4766-3p",1,-1.17501398726226,0.000102245203439779,0.000131981698925613,0.00127256750618525,"60",1,1,"60",0.1153,1
"16","hsa-miR-1307-3p",1,-1.07943769429314,0.033868476791827,0.0361894252512569,0.149794963017045,"60",1,1,"60",0.1475,1
"17","hsa-miR-381-3p",0,-0.960485644151721,4.81378376146013e-08,7.67651343769794e-08,1.509465050915e-06,"60",0.9998,1,"60",0.1717,1
"18","hsa-miR-556-3p",0,-1.09265323696813,2.96702744081835e-09,5.13192129388394e-09,2.17087507753209e-07,"60",1,1,"60",0.2881,1
"19","hsa-miR-216a-5p",0,-1.08138364822697,1.61130555741168e-08,2.69959388810856e-08,6.43057399730662e-07,"60",1,1,"60",0.309,1
"20","hsa-miR-641/hsa-miR-3617-5p",0,-1.15449461981338,0.000216503008924966,0.000268478407485006,0.0023761205229515,"60",1,1,"60",0.3167,1
"21","hsa-miR-519d-3p/hsa-miR-17-5p/hsa-miR-20a-5p/hsa-miR-106b-5p/hsa-miR-106a-5p/hsa-miR-20b-5p/hsa-miR-93-5p",1,-0.52739987288378,0.0207363442796237,0.0221931560529459,0.106628047811769,"60",0.9913,1,"60",0.3259,1
"22","hsa-miR-154-5p",0,-0.894216922211902,1.91914919128407e-09,3.23718709593698e-09,1.68501298994741e-07,"60",0.9998,1,"60",0.3747,1
"23","hsa-miR-503-5p",1,-0.533705602500689,0.388881018554418,0.390447876294621,0.879993645079328,"60",0.9866,1,"60",0.3833,1
"24","hsa-miR-4524a-5p/hsa-miR-4524b-5p",0,-0.873840806451733,0.175932197123043,0.179844420580227,0.517178295172272,"60",0.9999,1,"60",0.4141,1
"25","hsa-miR-5009-3p",0,-1.75572113624137,2.91307833958056e-06,4.42485243755767e-06,7.52259641809332e-05,"60",1,1,"60",0.4181,1
"26","hsa-miR-519c-3p/hsa-miR-519a-3p",0,-0.985146191568631,0.0424896667296839,0.0452261930526746,0.174326763498423,"60",1,1,"60",0.4562,1
"27","hsa-miR-499b-5p",0,-0.905687436714999,7.01432951164565e-05,8.80514297621467e-05,0.000962278329878887,"60",0.9998,1,"60",0.4601,1
"28","hsa-miR-383-5p.2",0,-0.982055590536725,2.11341080302032e-05,2.76839038427198e-05,0.000331352622330686,"60",1,1,"60",0.4713,1
"29","hsa-miR-150-5p",1,-1.0494588501356,1.6685316171173e-05,2.20672760184552e-05,0.000271290881449813,"60",1,1,"60",0.5355,1
"30","hsa-miR-2278",0,-1.12863385709102,0.00728603194921514,0.00812289364302056,0.0463560583435572,"60",1,1,"60",0.5613,1
"31","hsa-miR-532-5p",0,-0.686160732881076,0.00049534923467186,0.000583789715909057,0.00494223440956697,"60",0.9971,1,"60",0.6087,1
"32","hsa-miR-345-5p",0,-1.77433650322047,1.8986607589674e-08,3.56950744168857e-08,6.9459339432224e-07,"60",1,1,"60",0.667,1
"33","hsa-miR-4661-5p",0,-0.667534288667162,0.00012143921070114,0.000147092676436158,0.00140294246046843,"60",0.9955,1,"60",0.6746,1
"34","hsa-miR-624-3p",0,-1.9048528633234,0.239154814377945,0.243225125219866,0.648080021678506,"60",1,1,"60",0.7227,1
"35","hsa-miR-215-5p/hsa-miR-192-5p",0,-0.75473177362876,7.52967361114256e-06,9.82674102775304e-06,0.000157406034061504,"60",0.9995,1,"60",0.7269,1
"36","hsa-miR-370-3p",0,-0.67322931884532,4.72028998405247e-06,6.20918865170526e-06,0.000109063542263107,"60",0.9979,1,"60",0.733,1
"37","hsa-miR-769-5p",0,-1.56896845645345,0.0104845459166294,0.0116731527086176,0.0621988602351393,"60",1,1,"60",0.7654,1
"38","hsa-miR-4424",0,-0.857530887218419,0.000104356333081251,0.000128481192331852,0.00127256750618525,"60",0.9999,1,"60",0.7871,1
"39","hsa-miR-371a-5p",1,-2.87216292125399,0.00125500301879454,0.00160083580715573,0.0109044253664611,"60",1,1,"60",0.7932,1
"40","hsa-miR-330-3p",1,-1.71246142548722,5.39286518921108e-05,7.29384600003154e-05,0.000789155939354555,"60",1,1,"60",0.8009,1
"41","hsa-miR-10a-5p/hsa-miR-10b-5p",1,-1.18670819882666,0.0746612851602477,0.0781996342473599,0.270878546986353,"60",1,1,"60",0.8157,1
"42","hsa-miR-214-3p/hsa-miR-3619-5p",0,-0.722336757201728,0.587700351550752,0.586444716365102,0.999999999997404,"60",0.9997,1,"60",0.871,1
"43","hsa-miR-629-5p",0,-1.05233386996236,0.0414938520129308,0.0441868917240198,0.171847179562987,"60",1,1,"60",0.8754,1
"44","hsa-miR-5691",0,-1.07238974479255,5.35813008225209e-06,7.28345797219037e-06,0.000117610955305433,"60",1,1,"60",0.8891,1
"45","hsa-miR-218-5p",0,-0.479264982264437,0.00690097729217704,0.00752137953186654,0.0445518975186135,"60",0.9925,1,"60",0.8973,1
"46","hsa-miR-545-3p",1,-1.25539666077529,0.629907350714946,0.627934188967129,0.999999999997404,"60",1,1,"60",0.9123,1
"47","hsa-miR-6835-3p",0,-1.25648230646903,0.00384004572455187,0.00436150289589625,0.0271900011786818,"60",1,1,"60",0.9193,1
"48","hsa-miR-942-5p",0,-1.14706882004724,0.0190086648614236,0.0206213649699415,0.100539805712831,"60",1,1,"60",0.9275,1
"49","hsa-miR-483-3p.1",0,-0.957203868936267,0.0237837754183308,0.0255104442705866,0.117253607313516,"60",1,1,"60",0.9376,1
"50","hsa-miR-214-5p",0,-0.966796420306927,0.000352856002288644,0.000421774695510947,0.00368818535725511,"60",1,1,"60",0.9382,1
"51","hsa-miR-642a-3p/hsa-miR-642b-3p",0,-1.34051710370729,0.00288403213396491,0.00331929903186688,0.0216922093520517,"60",1,1,"60",0.9415,1
"52","hsa-miR-1296-5p",0,-0.617602780340984,0.000670912274574256,0.000773621769755097,0.00654512196751329,"60",0.9979,1,"60",0.9428,1
"53","hsa-miR-1224-5p",0,-1.51171495985018,0.00373810164844194,0.00429326245823615,0.0269020757978035,"60",1,1,"60",0.9476,1
"54","hsa-miR-802",0,-0.671970099305385,9.1332705247353e-05,0.000110910812124495,0.00121500174556327,"60",0.9989,1,"60",0.9477,1
"55","hsa-miR-7-5p",1,-1.4324907381185,0.71210318927801,0.708859236161112,0.999999999997404,"60",1,1,"60",0.9513,1
"56","hsa-miR-2116-3p",1,-1.05821815869383,0.00180804559615854,0.00207233971649488,0.014976075787049,"60",1,1,"60",0.9522,1
"57","hsa-miR-512-3p",0,-1.39764592120659,0.285060729626412,0.288384061834216,0.715095201748542,"60",1,1,"60",0.9531,1
"58","hsa-miR-1197",0,-1.56028121648186,0.200721216585949,0.205033681198923,0.568494284395043,"60",1,1,"60",0.9537,1
"59","hsa-miR-489-3p",0,-1.73762314034652,0.000274517711551879,0.000344875664370268,0.00293934817978719,"60",1,1,"60",0.9565,1
"60","hsa-miR-509-3p",0,-1.42669482547698,0.0338384617411222,0.0361832706083545,0.149794963017045,"60",1,1,"60",0.9639,1
"61","hsa-miR-493-3p",0,-0.866746461519246,0.00685176371835188,0.00753000169192417,0.0445518975186135,"60",1,1,"60",0.9683,1
"62","hsa-miR-140-3p.2",0,-0.900675974302123,0.0998475825149336,0.10313890927212,0.339791385457797,"60",1,1,"60",0.9691,1
"63","hsa-miR-504-5p.1",0,-1.447144088883,0.00661421925907476,0.00742777778498234,0.0439945796171791,"60",1,1,"60",0.9717,1
"64","hsa-miR-522-3p",0,-1.35826561024147,0.00143968741612684,0.00167509916816412,0.0121542841476862,"60",1,1,"60",0.9725,1
"65","hsa-miR-4677-3p",0,-1.29942541702963,0.162984206472255,0.166893978227968,0.500350116372867,"60",1,1,"60",0.9795,1
"66","hsa-miR-493-5p",0,-0.918081030559466,0.0208884102774763,0.0223533861264997,0.106628047811769,"60",1,1,"60",0.9817,1
"67","hsa-miR-3174",0,-1.15974171190868,0.00775815090888734,0.00857136994038127,0.0486546892714506,"60",1,1,"60",0.9839,1
"68","hsa-miR-873-5p.1",0,-1.64186672726304,0.00291535387647164,0.00333378312642235,0.0216922093520517,"60",1,1,"60",0.9853,1
"69","hsa-miR-542-3p",0,-0.830746639764682,0.0403057086200492,0.0424540843742165,0.168516248420968,"60",1,1,"60",0.9879,1
"70","hsa-miR-30e-5p/hsa-miR-30b-5p/hsa-miR-30a-5p/hsa-miR-30c-5p/hsa-miR-30d-5p",0,-1.09683635021909,0.304390517993682,0.307410441257681,0.738273134802356,"60",1,1,"60",0.9882,1
"71","hsa-miR-3909",0,-1.48407251735297,0.22542624813049,0.229509572719727,0.618513268308031,"60",1,1,"60",0.9886,1
"72","hsa-miR-1179",0,-1.04131291991328,1.20841718233571e-05,1.56919330776039e-05,0.00021219805721815,"60",1,1,"60",0.9893,1
"73","hsa-miR-196a-5p/hsa-miR-196b-5p",0,-1.3190379116755,0.459692684244278,0.460398163057498,0.979636351374942,"60",1,1,"60",0.9897,1
"74","hsa-miR-3127-5p",0,-1.395222630667,0.397799276849738,0.399571395555343,0.890989196617525,"60",1,1,"60",0.9898,1
"75","hsa-miR-2355-5p",0,-0.754210138635784,0.149079236915526,0.152605605742834,0.4674698928994,"60",1,1,"60",0.9899,1
"76","hsa-miR-1287-5p",0,-1.18259094050574,0.203893548369226,0.207672595691426,0.573705016616607,"60",1,1,"60",0.99,1
"77","hsa-miR-31-5p",0,-0.774246556961569,0.475198241756766,0.475645946298386,0.991707599671875,"60",1,1,"60",0.99,1
"78","hsa-miR-5094",0,-1.39822380693464,0.0445740840935039,0.0473448417833584,0.181185397380076,"60",1,1,"60",0.9926,1
"79","hsa-miR-670-3p",0,-1.1599843687117,0.0172661687877376,0.0186947221248668,0.095947444276162,"60",1,1,"60",0.9939,1
"80","hsa-miR-525-5p",1,-0.819174163608723,0.249487144065103,0.252619219949532,0.663787007542911,"60",1,1,"60",0.9944,1
"81","hsa-miR-141-3p/hsa-miR-200a-3p",1,-2.15045755605291,0.99703493607687,0.996590922257592,0.999999999997404,"60",1,1,"60",0.9952,1
"82","hsa-miR-2467-3p",0,-0.800455351615526,0.209696810381049,0.21340538432161,0.582638606058736,"60",1,1,"60",0.9955,1
"83","hsa-miR-26b-5p/hsa-miR-26a-5p",1,-0.912691676879619,0.00313478133052889,0.0034946327167434,0.0229361500683697,"60",1,1,"60",0.9966,1
"84","hsa-miR-545-5p",0,-0.929984110802544,0.000376414158223766,0.000443597131637935,0.00384292594093566,"60",1,1,"60",0.9966,1
"85","hsa-miR-127-3p",0,-1.76724191515057,0.0268958396754171,0.0288919513681884,0.128339930625088,"60",1,1,"60",0.9967,1
"86","hsa-miR-3140-3p",0,-1.32341677601147,0.0130192918471123,0.0141973627046377,0.0742268716997702,"60",1,1,"60",0.9978,1
"87","hsa-miR-552-3p",1,-0.969779878950386,0.0259170032702736,0.027562809987804,0.12502818061154,"60",1,1,"60",0.998,1
"88","hsa-miR-2114-5p",0,-1.46852587093913,0.0356289239191496,0.0379569561524849,0.154862352480264,"60",1,1,"60",0.9981,1
"89","hsa-miR-421",0,-0.908874168108056,0.027862814127881,0.0296084111961782,0.131524466689675,"60",1,1,"60",0.9981,1
"90","hsa-miR-656-3p",0,-1.88594537837336,2.33948962185487e-06,3.46044938460472e-06,6.41897464996429e-05,"60",1,1,"60",0.9981,1
"91","hsa-miR-147a",0,-1.59354119122163,0.0571922909580749,0.0600638862900767,0.224173354737454,"60",1,1,"60",0.9982,1
"92","hsa-miR-377-3p",0,-0.811191028378934,0.0813678890360169,0.0841758311944582,0.287792303009502,"60",1,1,"60",0.9982,1
"93","hsa-miR-1306-5p",0,-1.33619993063194,0.474434660179723,0.474932712783161,0.991707599671875,"60",1,1,"60",0.9983,1
